x y z m s sqe
4.93 0.17 10.04 33 30 4304
4.95 0.17 10.04 33 30 4305
4.96 0.18 10.04 33 30 4306
4.98 0.18 10.04 33 30 4307
4.99 0.19 10.04 33 30 4308
5 0.19 10.04 33 30 4309
5.02 0.19 10.04 33 30 4310
5.03 0.2 10.04 33 30 4311
5.05 0.2 10.04 33 30 4312
5.06 0.2 10.04 33 30 4313
5.07 0.21 10.04 33 30 4314
5.09 0.21 10.04 33 30 4315
5.1 0.21 10.04 33 30 4316
5.11 0.22 10.04 33 30 4317
5.12 0.22 10.04 33 30 4318
5.13 0.22 10.04 33 30 4319
5.14 0.22 10.04 33 30 4320
5.16 0.22 10.03 33 30 4321
5.17 0.23 10.03 33 30 4322
5.18 0.23 10.03 33 30 4323
5.18 0.23 10.03 33 30 4324
5.2 0.23 10.03 33 30 4325
5.2 0.23 10.03 33 30 4326
5.21 0.23 10.03 33 31 4327
5.22 0.24 10.03 33 31 4328
5.23 0.24 10.03 33 31 4329
5.24 0.24 10.03 33 31 4330
5.24 0.24 10.02 33 31 4331
5.25 0.24 10.02 33 31 4332
5.26 0.24 10.02 33 31 4333
5.26 0.24 10.02 33 31 4334
5.27 0.24 10.02 33 31 4335
5.27 0.24 10.01 33 31 4336
5.28 0.24 10.01 33 31 4337
5.28 0.24 10.01 33 31 4338
5.29 0.24 10 33 31 4339
5.29 0.24 10 33 31 4340
5.3 0.24 10 33 31 4341
5.3 0.24 9.99 33 31 4342
5.31 0.25 9.99 33 31 4343
5.31 0.25 9.99 33 31 4344
5.32 0.25 9.99 33 31 4345
5.32 0.25 9.98 33 31 4346
5.32 0.25 9.98 33 31 4347
5.33 0.25 9.98 33 31 4348
5.33 0.25 9.97 33 31 4349
5.34 0.25 9.97 33 31 4350
5.34 0.25 9.97 33 31 4351
5.34 0.25 9.96 33 31 4352
5.35 0.25 9.96 33 31 4353
5.35 0.26 9.96 33 31 4354
5.35 0.26 9.95 33 31 4355
5.36 0.26 9.95 33 31 4356
5.36 0.26 9.95 33 32 4357
5.36 0.26 9.94 33 32 4358
5.36 0.26 9.94 33 32 4359
5.37 0.26 9.94 33 32 4360
5.37 0.26 9.93 33 32 4361
5.37 0.26 9.93 33 32 4362
5.38 0.27 9.93 33 32 4363
5.38 0.27 9.92 33 32 4364
5.38 0.27 9.92 33 32 4365
5.38 0.27 9.92 33 32 4366
5.39 0.27 9.91 33 32 4367
5.39 0.28 9.91 33 32 4368
5.39 0.28 9.9 33 32 4369
5.39 0.28 9.9 33 32 4370
5.39 0.28 9.89 33 32 4371
5.4 0.28 9.89 33 32 4372
5.4 0.29 9.88 33 32 4373
5.4 0.29 9.88 33 32 4374
5.4 0.29 9.87 33 32 4375
5.41 0.29 9.87 33 32 4376
5.41 0.29 9.87 33 32 4377
5.41 0.29 9.86 33 32 4378
5.42 0.29 9.86 33 32 4379
5.42 0.3 9.85 33 32 4380
5.42 0.3 9.84 33 32 4381
5.43 0.3 9.84 33 32 4382
5.43 0.3 9.83 33 32 4383
5.43 0.3 9.83 33 32 4384
5.44 0.3 9.82 33 32 4385
5.44 0.3 9.81 33 32 4386
5.44 0.3 9.81 33 33 4387
5.44 0.3 9.8 33 33 4388
5.45 0.3 9.79 33 33 4389
5.45 0.3 9.79 33 33 4390
5.45 0.3 9.78 33 33 4391
5.46 0.3 9.77 33 33 4392
5.46 0.3 9.77 33 33 4393
5.46 0.3 9.76 33 33 4394
5.46 0.3 9.76 33 33 4395
5.47 0.3 9.75 33 33 4396
5.47 0.3 9.75 33 33 4397
5.47 0.3 9.74 33 33 4398
5.48 0.3 9.74 33 33 4399
5.48 0.3 9.73 33 33 4400
5.48 0.3 9.73 33 33 4401
5.48 0.29 9.73 33 33 4402
5.49 0.29 9.72 33 33 4403
5.49 0.29 9.72 33 33 4404
